domain,robots_status,robots_present,named_ai_tokens,restricts_all_named,restricts_some_named,wildcard_only_block
lsrelayaccess.com,404,False,,,,False
taboola.com,200,True,,,,False
shifen.com,,False,,,,False
pages.dev,200,False,,,,False
t-online.de,200,True,applebot-extended;bytespider;ccbot;claudebot;google-extended;gptbot;meta-externalagent;perplexitybot,,applebot-extended;bytespider;ccbot;claudebot;google-extended;gptbot;meta-externalagent;perplexitybot,False
doi.org,404,False,,,,False
ksyuncdn.com,,False,,,,False
duckdns.org,404,False,,,,False
forbes.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,False
bbc.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;youbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;cohere-ai;diffbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;youbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;youbot,False
miui.com,404,False,,,,False
sfx.ms,,False,,,,False
youtube-nocookie.com,,False,,,,False
playstation.net,,False,,,,False
sciencedirect.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot;petalbot;timpibot;youbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot;petalbot;timpibot;youbot,False
fastly-edge.com,,False,,,,False
twitch.tv,200,True,amazonbot,,,False
ebay.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;gptbot;meta-externalagent;oai-searchbot;perplexitybot,,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;gptbot;meta-externalagent;oai-searchbot;perplexitybot,False
gmail.com,200,True,,,,False
mit.edu,200,True,,,,False
researchgate.net,200,True,,,,False
pki.goog,200,True,,,,False
cdngslb.com,,False,,,,False
akamaized.net,,False,,,,False
userapi.com,200,True,,,,False
ozon.ru,307,False,,,,False
bbc.co.uk,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;youbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;youbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;youbot,False
nr-data.net,,False,,,,False
azureedge.net,,False,,,,False
ubuntu.com,200,True,anthropic-ai;applebot-extended;bytespider;chatgpt-user;claude-web;claudebot;cohere-ai;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot,,anthropic-ai;applebot-extended;bytespider;chatgpt-user;claude-web;claudebot;cohere-ai;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot,False
nist.gov,200,True,,,,False
cpanel.net,200,True,,,,False
t.co,200,True,,,,True
etsy.com,200,True,,,,False
stripe.com,200,True,,,,False
pubmatic.com,,False,,,,False
canva.com,200,True,anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;diffbot;facebookbot;gptbot;imagesiftbot;meta-externalagent;perplexitybot;timpibot,bytespider;diffbot;facebookbot;imagesiftbot;meta-externalagent;timpibot,anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;diffbot;facebookbot;gptbot;imagesiftbot;meta-externalagent;timpibot,False
wsdvs.com,,False,,,,False
imcmdb.net,,False,,,,False
sourceforge.net,200,True,,,,False
ailawandorder.com,,False,,,,False
rbxcdn.com,,False,,,,False
meraki.com,200,True,ccbot,,ccbot,False
comcast.net,403,False,,,,False
omtrdc.net,,False,,,,False
adsrvr.org,403,False,,,,False
android.com,200,True,anthropic-ai;applebot-extended;ccbot;claudebot;cohere-ai;diffbot;google-extended;gptbot;oai-searchbot;perplexitybot;youbot,,anthropic-ai;applebot-extended;ccbot;claudebot;cohere-ai;diffbot;google-extended;gptbot;oai-searchbot;perplexitybot;youbot,False
cisco.com,200,True,ccbot;claudebot;google-extended;gptbot,,,False
capcutapi.com,,False,,,,False
roku.com,200,True,,,,False
ripn.net,,False,,,,False
ack.de,200,True,,,,False
telegram.org,404,False,,,,False
wikimedia.org,404,False,,,,False
hubspot.com,200,True,,,,False
hcaptcha.com,200,True,,,,False
adnxs.com,404,False,,,,False
booking.com,200,True,,,,False
alibabadns.com,,False,,,,False
scorecardresearch.com,404,False,,,,False
imdb.com,200,True,amazonbot,,amazonbot,False
who.int,200,True,ccbot,ccbot,ccbot,False
alidns.com,200,False,,,,False
name-services.com,,False,,,,False
wixsite.com,,False,,,,False
launchpad.net,200,True,amazonbot;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,amazonbot;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,amazonbot;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,False
ttvnw.net,,False,,,,False
linktr.ee,200,True,amazonbot;applebot-extended;ccbot;chatgpt-user;claude-web;claudebot;google-extended;gptbot;oai-searchbot;perplexitybot,,amazonbot;ccbot;chatgpt-user;claude-web;claudebot;gptbot;oai-searchbot;perplexitybot,False
forter.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot,bytespider;ccbot;diffbot;facebookbot;imagesiftbot;meta-externalagent;omgilibot,bytespider;ccbot;diffbot;facebookbot;imagesiftbot;meta-externalagent;omgilibot,False
yandexcloud.net,,False,,,,False
facebook.net,,False,,,,False
ibm.com,200,True,,,,False
mangosip.ru,,False,,,,False
amon.tech,404,False,,,,False
telecid.ru,,False,,,,False
prodregistryv2.org,404,False,,,,False
msedge.net,,False,,,,False
spov-msedge.net,,False,,,,False
reuters.com,200,True,applebot-extended;chatgpt-user;oai-searchbot,applebot-extended,applebot-extended;chatgpt-user;oai-searchbot,False
aliyuncsslbintl.com,,False,,,,False
2mdn.net,,False,,,,False
amplitude.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot,bytespider,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot,False
springer.com,200,True,,,,False
media-amazon.com,,False,,,,False
arubanetworks.com,403,False,,,,False
tinyurl.com,200,True,,,,False
telegram.me,200,False,,,,False
dnsmadeeasy.com,404,False,,,,False
appsflyer.com,200,True,,,,False
mozilla.com,200,True,,,,False
drom.ru,200,True,,,,False
crpt.ru,200,False,,,,False
nature.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot;youbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot;youbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot;youbot,False
hp.com,200,True,chatgpt-user;claudebot;google-extended;gptbot;oai-searchbot;perplexitybot,,,False
byteoversea.net,,False,,,,False
tiktokcdn-us.com,,False,,,,False
mzstatic.com,200,False,,,,False
weibo.com,200,True,bytespider;chatgpt-user;meta-externalagent;oai-searchbot,,bytespider;chatgpt-user;meta-externalagent;oai-searchbot,False
inmobi.com,200,True,,,,False
steampowered.com,200,True,,,,False
jsdelivr.net,,False,,,,False
www.gov.uk,200,True,meta-externalagent,,meta-externalagent,False
salesforce.com,200,True,,,,False
clarity.ms,404,False,,,,False
autodesk.com,403,False,,,,False
alibaba.com,200,True,google-extended;gptbot,google-extended;gptbot,google-extended;gptbot,False
wac-msedge.net,,False,,,,False
harvard.edu,200,True,,,,False
weather.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,False
datadoghq.com,200,True,,,,False
debian.org,404,False,,,,False
samsungcloud.com,200,True,,,,False
ea.com,200,True,bytespider;cohere-ai;meta-externalagent,bytespider;cohere-ai;meta-externalagent,bytespider;cohere-ai;meta-externalagent,False
avast.com,200,True,chatgpt-user;claudebot;gptbot;oai-searchbot;perplexitybot,,perplexitybot,False
ok.ru,200,True,,,,False
wiley.com,200,True,,,,False
mtgglobals.com,,False,,,,False
samsungqbe.com,,False,,,,False
heytapmobile.com,,False,,,,False
php.net,200,True,,,,False
douyincdn.com,,False,,,,False
shalltry.com,403,False,,,,False
namecheap.com,200,True,,,,False
amazon.co.uk,200,True,bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;crawl4ai;diffbot;google-extended;gptbot;iaskspider;imagesiftbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;timpibot;wrtnbot;youbot,bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;crawl4ai;diffbot;google-extended;gptbot;iaskspider;imagesiftbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;timpibot;wrtnbot;youbot,bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;crawl4ai;diffbot;google-extended;gptbot;iaskspider;imagesiftbot;meta-externalagent;oai-searchbot;perplexitybot;petalbot;timpibot;wrtnbot;youbot,False
akamaihd.net,,False,,,,False
aliyun.com,200,True,,,,False
googleblog.com,200,False,,,,False
myshopify.com,404,False,,,,False
hostinger.com,200,True,bytespider;ccbot;chatgpt-user;claudebot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;youbot,bytespider;ccbot,bytespider;ccbot;chatgpt-user;claudebot;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot;youbot,False
dell.com,200,True,bytespider,,bytespider,False
worldnic.com,,False,,,,False
vecdnlb.com,,False,,,,False
trueconf.net,200,False,,,,False
smartadserver.com,200,False,,,,False
gnu.org,200,True,,,,False
awswaf.com,,False,,,,False
name.com,200,True,,,,False
crashlytics.com,200,False,,,,False
tbcache.com,,False,,,,False
bilibili.com,200,True,,,,False
inner-active.mobi,404,False,,,,False
doubleverify.com,200,True,,,,False
statsigapi.net,403,False,,,,False
slack.com,200,True,,,,False
trustpilot.com,200,True,anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;timpibot;youbot,anthropic-ai;applebot-extended;bytespider;ccbot;cohere-ai;diffbot;imagesiftbot;meta-externalagent;omgilibot;timpibot;youbot,anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;timpibot;youbot,False
naver.com,200,True,,,,False
checkpoint.com,200,True,,,,False
spaceweb.pro,,False,,,,False
shiabank.com,,False,,,,False
hostgator.com,403,False,,,,False
edgcdn.net,,False,,,,False
un.org,404,False,,,,False
wildberries.ru,498,False,,,,False
cdc.gov,200,True,,,,False
opendns.com,200,True,,,,False
weebly.com,200,True,,,,False
media.net,200,True,,,,False
allawnos.com,,False,,,,False
tradingview.com,200,True,amazonbot;applebot-extended;bytespider;claudebot;google-extended;meta-externalagent;omgilibot;perplexitybot,,amazonbot;applebot-extended;bytespider;claudebot;google-extended;meta-externalagent;omgilibot;perplexitybot,False
launchdarkly.com,200,True,,,,False
virginm.net,,False,,,,False
washingtonpost.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;diffbot;facebookbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,imagesiftbot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;diffbot;facebookbot;imagesiftbot;meta-externalagent;omgilibot;perplexitybot,False
selectel.ru,200,True,,,,False
issuu.com,200,True,petalbot,petalbot,petalbot,False
nvidia.com,200,True,,,,False
indeed.com,200,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;diffbot;facebookbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,omgilibot,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;diffbot;facebookbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,False
live-video.net,403,False,,,,False
wsj.com,200,True,chatgpt-user;gptbot;oai-searchbot,,chatgpt-user;gptbot;oai-searchbot,False
zendesk.com,200,True,,,,False
