domain,robots_status,robots_present,blocks_named_ai_agent,ai_agents_named,sig_directory_status,has_sig_directory,llms_txt_status,has_llms_txt,ai_txt_status,has_ai_txt,checked_at
google.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:51:35Z
cloudflare.com,200,True,True,anthropic-ai;ccbot;chatgpt-user;claude-web;cohere-ai;google-extended;gptbot;perplexitybot,404,False,200,True,404,False,2026-09-10T20:51:35Z
facebook.com,200,True,True,amazonbot;applebot-extended;claudebot;google-extended;gptbot;perplexitybot;petalbot,404,False,200,False,200,False,2026-09-10T20:51:35Z
gstatic.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:51:35Z
googleapis.com,404,False,False,,404,False,404,False,404,False,2026-09-10T20:51:41Z
microsoft.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:51:41Z
amazonaws.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:51:42Z
akamai.net,,False,False,,,False,,False,,False,2026-09-10T20:51:42Z
youtube.com,200,True,False,,404,False,404,False,404,False,2026-09-10T20:51:47Z
apple.com,200,True,False,,403,False,403,False,403,False,2026-09-10T20:51:48Z
instagram.com,200,True,True,amazonbot;applebot-extended;claudebot;google-extended;gptbot;perplexitybot;petalbot,200,False,200,False,200,False,2026-09-10T20:51:48Z
mail.ru,200,True,False,,200,False,200,False,200,False,2026-09-10T20:51:50Z
fbcdn.net,200,True,True,amazonbot;applebot-extended;claudebot;google-extended;gptbot;perplexitybot;petalbot,200,False,200,False,200,False,2026-09-10T20:51:54Z
ezviz7.com,,False,False,,,False,,False,,False,2026-09-10T20:51:55Z
twitter.com,200,True,True,facebookbot;google-extended;meta-externalagent,404,False,404,False,404,False,2026-09-10T20:51:55Z
dzen.ru,200,True,False,,200,False,200,False,200,False,2026-09-10T20:52:01Z
linkedin.com,200,False,False,,200,False,200,False,200,False,2026-09-10T20:52:01Z
googlevideo.com,404,False,False,,404,False,404,False,404,False,2026-09-10T20:52:02Z
domaincontrol.com,,False,False,,,False,,False,,False,2026-09-10T20:52:05Z
