domain,robots_status,robots_present,blocks_named_ai_agent,ai_agents_named,sig_directory_status,has_sig_directory,sig_directory_shape,llms_txt_status,has_llms_txt,ai_txt_status,has_ai_txt,checked_at
lsrelayaccess.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:00:25Z
taboola.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:00:25Z
shifen.com,,False,False,,,False,,,False,,False,2026-09-11T14:00:25Z
pages.dev,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:00:25Z
t-online.de,200,True,True,applebot-extended;bytespider;ccbot;claudebot;google-extended;gptbot;meta-externalagent;perplexitybot,404,False,,404,False,404,False,2026-09-11T14:00:31Z
doi.org,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:00:34Z
ksyuncdn.com,,False,False,,,False,,,False,,False,2026-09-11T14:00:38Z
duckdns.org,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:00:42Z
forbes.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot,200,False,,200,False,200,True,2026-09-11T14:00:44Z
bbc.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;youbot,404,False,,404,False,404,False,2026-09-11T14:00:51Z
miui.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:00:51Z
sfx.ms,,False,False,,,False,,,False,,False,2026-09-11T14:00:57Z
youtube-nocookie.com,,False,False,,,False,,,False,,False,2026-09-11T14:01:02Z
playstation.net,,False,False,,,False,,,False,,False,2026-09-11T14:01:03Z
sciencedirect.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,404,False,,404,False,404,False,2026-09-11T14:01:08Z
fastly-edge.com,,False,False,,,False,,,False,,False,2026-09-11T14:01:09Z
twitch.tv,200,True,True,amazonbot,200,False,,200,False,200,False,2026-09-11T14:01:15Z
ebay.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;gptbot;meta-externalagent;oai-searchbot;perplexitybot,404,False,,404,False,404,False,2026-09-11T14:01:15Z
gmail.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:01:24Z
mit.edu,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:01:25Z
researchgate.net,200,True,False,,403,False,,403,False,403,False,2026-09-11T14:01:30Z
pki.goog,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:01:32Z
cdngslb.com,,False,False,,,False,,,False,,False,2026-09-11T14:01:36Z
akamaized.net,,False,False,,,False,,,False,,False,2026-09-11T14:01:39Z
userapi.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:01:45Z
ozon.ru,307,False,False,,403,False,,307,False,307,False,2026-09-11T14:01:53Z
bbc.co.uk,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claude-web;claudebot;cohere-ai;diffbot;google-extended;gptbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;youbot,404,False,,404,False,404,False,2026-09-11T14:02:18Z
nr-data.net,,False,False,,,False,,,False,,False,2026-09-11T14:02:24Z
azureedge.net,,False,False,,,False,,,False,,False,2026-09-11T14:02:30Z
ubuntu.com,200,True,True,anthropic-ai;applebot-extended;bytespider;chatgpt-user;claude-web;claudebot;cohere-ai;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot,404,False,,200,True,404,False,2026-09-11T14:02:31Z
nist.gov,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:02:35Z
cpanel.net,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:02:37Z
t.co,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:02:38Z
etsy.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:02:44Z
stripe.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:02:45Z
pubmatic.com,,False,False,,,False,,,False,,False,2026-09-11T14:02:46Z
canva.com,200,True,True,anthropic-ai;applebot-extended;bytespider;ccbot;claude-web;claudebot;diffbot;facebookbot;gptbot;imagesiftbot;meta-externalagent;perplexitybot;timpibot,404,False,,403,False,403,False,2026-09-11T14:02:51Z
wsdvs.com,,False,False,,,False,,,False,,False,2026-09-11T14:02:52Z
imcmdb.net,,False,False,,,False,,,False,,False,2026-09-11T14:02:52Z
sourceforge.net,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:02:57Z
ailawandorder.com,,False,False,,,False,,,False,,False,2026-09-11T14:02:58Z
rbxcdn.com,,False,False,,,False,,,False,,False,2026-09-11T14:03:04Z
meraki.com,200,True,True,ccbot,,False,,,False,,False,2026-09-11T14:03:10Z
comcast.net,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:03:11Z
omtrdc.net,,False,False,,,False,,,False,,False,2026-09-11T14:03:20Z
adsrvr.org,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:03:26Z
android.com,200,True,True,anthropic-ai;applebot-extended;ccbot;claudebot;cohere-ai;diffbot;google-extended;gptbot;oai-searchbot;perplexitybot;youbot,404,False,,404,False,404,False,2026-09-11T14:03:33Z
cisco.com,200,True,True,ccbot;claudebot;google-extended;gptbot,404,False,,200,True,404,False,2026-09-11T14:03:40Z
capcutapi.com,,False,False,,,False,,,False,,False,2026-09-11T14:03:42Z
roku.com,200,True,False,,403,False,,200,True,200,False,2026-09-11T14:03:48Z
ripn.net,,False,False,,,False,,,False,,False,2026-09-11T14:03:49Z
ack.de,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:03:55Z
telegram.org,404,False,False,,404,False,,200,False,200,False,2026-09-11T14:03:56Z
wikimedia.org,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:04:01Z
hubspot.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:04:04Z
hcaptcha.com,200,True,False,,404,False,,200,True,404,False,2026-09-11T14:04:09Z
adnxs.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:04:12Z
booking.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:04:15Z
alibabadns.com,,False,False,,,False,,,False,,False,2026-09-11T14:04:19Z
scorecardresearch.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:04:23Z
imdb.com,200,True,True,amazonbot,202,False,,202,False,202,False,2026-09-11T14:04:24Z
who.int,200,True,True,ccbot,404,False,,404,False,404,False,2026-09-11T14:04:31Z
alidns.com,200,False,False,,200,False,,200,True,200,True,2026-09-11T14:04:33Z
name-services.com,,False,False,,,False,,,False,,False,2026-09-11T14:04:37Z
wixsite.com,,False,False,,,False,,,False,,False,2026-09-11T14:04:43Z
launchpad.net,200,True,True,amazonbot;applebot-extended;bytespider;ccbot;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot;petalbot;timpibot;youbot,404,False,,404,False,404,False,2026-09-11T14:04:47Z
ttvnw.net,,False,False,,,False,,,False,,False,2026-09-11T14:04:47Z
linktr.ee,200,True,True,amazonbot;applebot-extended;ccbot;chatgpt-user;claude-web;claudebot;google-extended;gptbot;oai-searchbot;perplexitybot,404,False,,200,True,404,False,2026-09-11T14:04:49Z
forter.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;diffbot;facebookbot;google-extended;gptbot;imagesiftbot;meta-externalagent;oai-searchbot;omgilibot;perplexitybot,200,True,jwks_directory,200,True,404,False,2026-09-11T14:04:53Z
yandexcloud.net,,False,False,,,False,,,False,,False,2026-09-11T14:04:54Z
facebook.net,,False,False,,,False,,,False,,False,2026-09-11T14:04:56Z
ibm.com,200,True,False,,404,False,,404,False,404,False,2026-09-11T14:04:58Z
mangosip.ru,,False,False,,,False,,,False,,False,2026-09-11T14:04:59Z
amon.tech,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:05:00Z
telecid.ru,,False,False,,,False,,,False,,False,2026-09-11T14:05:01Z
prodregistryv2.org,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:05:06Z
msedge.net,,False,False,,,False,,,False,,False,2026-09-11T14:05:08Z
spov-msedge.net,,False,False,,,False,,,False,,False,2026-09-11T14:05:08Z
reuters.com,200,True,True,applebot-extended;chatgpt-user;oai-searchbot,403,False,,401,False,401,False,2026-09-11T14:05:12Z
aliyuncsslbintl.com,,False,False,,,False,,,False,,False,2026-09-11T14:05:14Z
2mdn.net,,False,False,,,False,,,False,,False,2026-09-11T14:05:20Z
amplitude.com,200,True,True,amazonbot;anthropic-ai;applebot-extended;bytespider;ccbot;chatgpt-user;claudebot;cohere-ai;google-extended;gptbot;meta-externalagent;oai-searchbot;perplexitybot,404,False,,200,True,200,False,2026-09-11T14:05:22Z
springer.com,200,True,False,,200,False,,200,False,200,False,2026-09-11T14:05:26Z
media-amazon.com,,False,False,,,False,,,False,,False,2026-09-11T14:05:31Z
arubanetworks.com,403,False,False,,403,False,,403,False,403,False,2026-09-11T14:05:36Z
tinyurl.com,200,True,False,,403,False,,404,False,404,False,2026-09-11T14:05:37Z
telegram.me,200,False,False,,200,False,,200,False,200,False,2026-09-11T14:05:43Z
dnsmadeeasy.com,404,False,False,,404,False,,404,False,404,False,2026-09-11T14:05:44Z
